TGF_ID,UTC_Date,UTC_Time,fermi_lat,fermi_lon
TGF120421334, 2012-04-21, 08:01:02.51984,24.9502,281.0312
TGF120422444, 2012-04-22, 10:38:40.00430,-6.4903,144.2835
TGF120426487, 2012-04-26, 11:41:21.60178,-1.9012,107.053
TGF120426844, 2012-04-26, 20:15:41.41757,17.5277,118.7564
TGF120429897, 2012-04-29, 21:31:46.50202,6.9228,102.4789
TGF120430757, 2012-04-30, 18:10:47.52770,8.9193,141.6711
TGF120503878, 2012-05-03, 21:04:06.01097,-5.9699,105.7192
TGF120505333, 2012-05-05, 07:58:48.21377,0.9118,276.4077
TGF120508642, 2012-05-08, 15:23:59.53470,9.0848,122.0964
TGF120513880, 2012-05-13, 21:06:39.06743,-0.0226,15.3299
TGF120514142, 2012-05-14, 03:24:36.01892,5.9465,266.2883
TGF120517381, 2012-05-17, 09:08:44.03542,20.6279,116.249
TGF120520437, 2012-05-20, 10:29:13.78475,3.9886,115.5536
TGF120522162, 2012-05-22, 03:53:39.33341,-2.4425,214.4991
TGF120522692, 2012-05-22, 16:36:07.53860,-1.2029,17.1909
TGF120523685, 2012-05-23, 16:26:57.63720,-0.8495,11.044
TGF120525870, 2012-05-25, 20:52:49.60125,3.131,279.33
TGF120526437, 2012-05-26, 10:29:31.91490,6.2861,270.561
TGF120526439, 2012-05-26, 10:32:36.85124,11.0431,280.4954
TGF120526580, 2012-05-26, 13:55:16.86070,24.1457,273.7784
TGF120527596, 2012-05-27, 14:18:14.43405,-4.94,21.5016
TGF120530413, 2012-05-30, 09:55:05.31541,8.5868,253.3984
TGF120531502, 2012-05-31, 12:03:33.00472,0.6065,13.2266
TGF120601404, 2012-06-01, 09:42:13.19676,15.9403,259.35
TGF120602615, 2012-06-02, 14:45:12.77500,17.3404,277.1062
TGF120605969, 2012-06-05, 23:15:56.85352,2.3832,348.9539
TGF120607590, 2012-06-07, 14:09:16.69897,4.092,279.5227
TGF120608583, 2012-06-08, 13:58:58.55579,6.1809,269.9411
TGF120612421, 2012-06-12, 10:05:44.08191,15.7364,275.699
TGF120613411, 2012-06-13, 09:51:59.42017,21.2465,253.4403
TGF120614646, 2012-06-14, 15:30:01.20710,-3.2433,26.4827
TGF120615050a, 2012-06-15, 01:12:07.80997,12.2375,271.3469
TGF120618625, 2012-06-18, 14:59:57.42927,6.4411,23.5106
TGF120624218, 2012-06-24, 05:14:35.88033,4.2616,284.2115
TGF120626205, 2012-06-26, 04:55:12.39504,6.5057,268.9322
TGF120628127, 2012-06-28, 03:02:29.55850,5.3872,284.6628
TGF120628694a, 2012-06-28, 16:39:23.28818,4.4852,276.6669
TGF120630753, 2012-06-30, 18:04:22.75526,15.9229,266.3851
TGF120704488, 2012-07-04, 11:43:19.87479,1.2148,114.0343
TGF120705943, 2012-07-05, 22:37:32.36495,8.5136,283.6623
TGF120705944, 2012-07-05, 22:38:52.53667,6.4096,287.9357
TGF120706512, 2012-07-06, 12:16:39.80524,4.8591,282.7303
TGF120706651, 2012-07-06, 15:37:09.41901,18.8013,266.307
TGF120708570, 2012-07-08, 13:40:32.61919,14.7654,268.8495
TGF120708971, 2012-07-08, 23:17:53.97166,20.7507,140.1185
TGF120711485, 2012-07-11, 11:38:24.22348,15.2265,278.0923
TGF120713614, 2012-07-13, 14:43:35.03705,25.5466,264.673
TGF120715393, 2012-07-15, 09:26:35.84324,14.8622,279.8283
TGF120715607, 2012-07-15, 14:34:00.29872,22.7836,286.8429
TGF120716743, 2012-07-16, 17:49:43.54710,4.5445,280.5317
TGF120717849, 2012-07-17, 20:22:28.13760,21.9526,120.3781
TGF120718657, 2012-07-18, 15:46:10.66086,18.9307,260.5042
TGF120719586, 2012-07-19, 14:03:31.08438,16.7579,285.7053
TGF120720226, 2012-07-20, 05:24:45.89978,6.2294,282.4298
TGF120721503, 2012-07-21, 12:03:37.74587,23.2724,275.988
TGF120721571, 2012-07-21, 13:42:12.96651,20.4552,263.4693
TGF120723745, 2012-07-23, 17:52:57.59105,22.1536,112.9742
TGF120724411b, 2012-07-24, 09:51:34.48430,25.0587,247.0943
TGF120724412, 2012-07-24, 09:52:45.96756,25.414,251.7439
TGF120725554, 2012-07-25, 13:17:08.43145,5.0079,279.32
TGF120726331, 2012-07-26, 07:56:54.67640,24.5745,256.191
TGF120727183, 2012-07-27, 04:23:54.55638,10.3318,252.8231
TGF120728180, 2012-07-28, 04:19:40.24230,17.0702,263.5894
TGF120728461, 2012-07-28, 11:04:18.89615,19.4795,253.0361
TGF120731311, 2012-07-31, 07:27:36.60904,17.9879,290.0506
TGF120731450, 2012-07-31, 10:47:24.70859,4.9345,271.1863
TGF120803101, 2012-08-03, 02:24:54.04732,2.1999,22.0325
TGF120803222, 2012-08-03, 05:20:00.78925,22.9646,280.1286
TGF120803295, 2012-08-03, 07:04:43.24930,12.1671,288.5238
TGF120804287, 2012-08-04, 06:53:26.15862,15.2666,275.7324
TGF120807526, 2012-08-07, 12:37:04.38065,25.0828,123.0006
TGF120813100, 2012-08-13, 02:24:19.98277,10.2533,287.3685
TGF120814947, 2012-08-14, 22:43:52.87740,23.6913,284.8748
TGF120816335, 2012-08-16, 08:02:10.32655,25.7216,113.9153
TGF120817007, 2012-08-17, 00:10:30.07842,13.3107,283.3154
TGF120820915, 2012-08-20, 21:57:40.40572,14.8055,282.4814
TGF120821025, 2012-08-21, 00:35:38.16020,8.509,113.379
TGF120821237, 2012-08-21, 05:41:12.69500,25.7336,110.8147
TGF120822711, 2012-08-22, 17:03:15.92540,-0.7633,16.9724
TGF120823943, 2012-08-23, 22:37:16.83646,14.9327,135.9116
TGF120825465, 2012-08-25, 11:09:23.00324,12.2113,289.2277
TGF120827282, 2012-08-27, 06:45:53.03465,-1.5553,137.6329
TGF120828111, 2012-08-28, 02:40:08.26265,4.5677,18.9611
TGF120830100, 2012-08-30, 02:24:26.63611,8.6266,16.3103
TGF120830830, 2012-08-30, 19:55:24.37135,11.1489,113.7253
TGF120901713, 2012-09-01, 17:06:20.45002,1.2361,294.6914
TGF120901818, 2012-09-01, 19:38:07.83788,12.5989,106.1702
TGF120905331, 2012-09-05, 07:57:07.81960,17.0742,266.2413
TGF120906009, 2012-09-06, 00:13:29.53412,20.1573,107.3813
TGF120907345, 2012-09-07, 08:17:20.83546,-3.3942,32.9455
TGF120907606b, 2012-09-07, 14:32:37.45833,6.7739,275.6981
TGF120908174, 2012-09-08, 04:11:14.04325,5.8727,273.3211
TGF120910097, 2012-09-10, 02:20:02.88618,9.8086,294.9432
TGF120911162, 2012-09-11, 03:53:48.71299,19.8503,290.9073
TGF120913078b, 2012-09-13, 01:52:45.93518,10.0984,279.3066
TGF120916060, 2012-09-16, 01:25:42.15071,10.7484,264.4463
TGF120916414, 2012-09-16, 09:55:38.20020,12.3544,263.7541
TGF120917079, 2012-09-17, 01:53:11.69312,6.7455,32.0898
TGF120917340, 2012-09-17, 08:10:18.84729,13.4522,280.1536
TGF120918800, 2012-09-18, 19:11:19.80995,9.814,112.3552
TGF120919969, 2012-09-19, 23:14:49.78022,12.5367,271.115
TGF120920713, 2012-09-20, 17:06:00.86542,23.4955,85.1232
TGF120921360, 2012-09-21, 08:38:17.21100,12.9829,120.5589
TGF120922245, 2012-09-22, 05:52:25.08357,8.4409,288.483
TGF120923238, 2012-09-23, 05:43:20.26144,8.2919,283.3863
TGF120924232, 2012-09-24, 05:34:47.02317,7.3102,279.9948
TGF120927009, 2012-09-27, 00:12:35.27500,19.1565,308.2994
TGF120928988, 2012-09-28, 23:42:18.64811,25.6502,252.3353
TGF120930986, 2012-09-30, 23:39:32.04540,14.4191,299.7428
TGF121001844, 2012-10-01, 20:15:10.26530,19.872,327.8643
TGF121004676, 2012-10-04, 16:13:36.13953,16.6993,273.3648
TGF121006024, 2012-10-06, 00:34:42.86518,5.499,267.7172
TGF121007450, 2012-10-07, 10:48:29.45660,-0.5671,293.5825
TGF121008583, 2012-10-08, 13:59:24.12147,14.1194,269.667
TGF121011427, 2012-10-11, 10:14:46.85241,4.6365,282.1227
TGF121011888, 2012-10-11, 21:18:50.33220,-1.3417,100.0985
TGF121012241, 2012-10-12, 05:47:13.93020,23.0243,91.422
TGF121012817, 2012-10-12, 19:35:56.15345,1.4712,124.4765
TGF121013774, 2012-10-13, 18:34:35.75795,5.6212,297.6012
TGF121014570, 2012-10-14, 13:40:19.33310,3.8069,8.8572
TGF121014571, 2012-10-14, 13:42:51.96930,-0.3521,16.8585
TGF121015868b, 2012-10-15, 20:49:59.18360,11.5758,104.4408
TGF121017786, 2012-10-17, 18:51:40.65696,4.6192,103.7232
TGF121018710, 2012-10-18, 17:02:33.61735,-2.7188,108.5669
TGF121020897, 2012-10-20, 21:31:04.96059,-1.2418,27.5908
TGF121021369, 2012-10-21, 08:51:56.42805,18.5009,260.264
TGF121023222, 2012-10-23, 05:19:30.94499,14.4819,287.4946
TGF121024504, 2012-10-24, 12:06:15.61175,6.1683,310.473
TGF121028478, 2012-10-28, 11:27:48.72350,8.2239,284.7718
TGF121028516, 2012-10-28, 12:23:39.91742,4.9784,118.4474
TGF121028710, 2012-10-28, 17:02:34.55550,-6.7239,22.5742
TGF121030966, 2012-10-30, 23:11:38.26651,3.2842,293.8738
TGF121101386, 2012-11-01, 09:15:26.34879,7.8652,288.3273
TGF121102949, 2012-11-02, 22:46:06.56392,7.1767,285.4599
TGF121103374, 2012-11-03, 08:59:05.06880,4.2285,284.842
TGF121103428, 2012-11-03, 10:15:51.16025,25.2204,195.1774
TGF121103606, 2012-11-03, 14:32:15.62880,-5.1911,17.6987
TGF121104065, 2012-11-04, 01:33:26.32975,-14.9245,186.0138
